invoice_id,customer_id,service_id,billing_period_start,billing_period_end,pricing_tier,currency,subtotal_amount,discount_amount,tax_amount,total_amount,payment_method
INV00000030,CUST00558,SRV000695,2022-02-03,2022-03-04,Enterprise,MYR,982.63,38.93,56.62,1000.32,Direct Debit
INV00000031,CUST00391,SRV001377,2020-12-20,2021-01-18,Premium,MYR,473.94,27.28,26.8,473.46,Bank Transfer
INV00000032,CUST00751,SRV000743,2025-04-21,2025-05-20,Premium,MYR,252.11,46.75,12.32,217.68,E Wallet
INV00000033,CUST01100,SRV000964,2022-03-18,2022-04-16,Premium,MYR,855.51,10.79,50.68,895.4,Bank Transfer
INV00000034,CUST00643,SRV001014,2021-12-18,2022-01-16,Premium,MYR,450.85,44.86,24.36,430.35,FPX
INV00000035,CUST00510,SRV000655,2022-09-10,2022-10-09,Standard,MYR,189.3,11.74,10.65,188.21,E Wallet
INV00000036,CUST00865,SRV001431,2021-04-22,2021-05-21,Premium,MYR,2346.91,28.45,139.11,2457.57,Direct Debit
INV00000037,CUST00669,SRV000989,2023-12-22,2024-01-20,Enterprise,MYR,623.66,21.86,36.11,637.91,E Wallet
INV00000038,CUST00274,SRV001130,2019-09-23,2019-10-22,Enterprise,MYR,993.2,11.13,58.92,1040.99,Credit Card
INV00000039,CUST01174,SRV000039,2021-11-12,2021-12-11,Basic,MYR,47.41,12.95,2.07,36.53,FPX
INV00000040,CUST00798,SRV001415,2019-04-16,2019-05-15,Premium,MYR,388.17,2.21,23.16,409.12,E Wallet
INV00000041,CUST00850,SRV000625,2022-02-11,2022-03-12,Standard,MYR,345.24,14.63,19.84,350.45,Direct Debit
INV00000042,CUST00835,SRV000975,2023-05-19,2023-06-17,Basic,MYR,114.58,9.36,6.31,111.53,FPX
INV00000043,CUST00630,SRV000712,2025-04-16,2025-05-15,Premium,MYR,1941.35,43.36,113.88,2011.87,Credit Card
INV00000044,CUST00980,SRV000926,2020-02-02,2020-03-02,Enterprise,MYR,719.82,7.86,42.72,754.68,Direct Debit
INV00000045,CUST00280,SRV001311,2020-10-12,2020-11-10,Premium,MYR,389.58,19.03,22.23,392.78,Bank Transfer
INV00000046,CUST00191,SRV001073,2021-01-01,2021-01-30,Standard,MYR,169.56,6.65,9.77,172.68,E Wallet
INV00000047,CUST00091,SRV001386,2021-01-04,2021-02-02,Enterprise,MYR,243.34,10.14,13.99,247.19,FPX
INV00000048,CUST00321,SRV001448,2020-01-19,2020-02-17,Basic,MYR,247.32,49.68,11.86,209.5,FPX
INV00000049,CUST00678,SRV000765,2020-09-19,2020-10-18,Basic,MYR,40.27,18.5,1.31,23.08,Direct Debit
INV00000050,CUST00890,SRV000278,2020-11-20,2020-12-19,Enterprise,MYR,1171.44,49.41,67.32,1189.35,FPX
INV00000051,CUST00059,SRV000441,2020-06-05,2020-07-04,Basic,MYR,153.88,43.72,6.61,116.77,Direct Debit
INV00000052,CUST01137,SRV000909,2021-08-09,2021-09-07,Standard,MYR,219.28,42.56,10.6,187.32,FPX
INV00000053,CUST00378,SRV001116,2020-03-27,2020-04-25,Standard,MYR,165.35,24.38,8.46,149.43,Bank Transfer
INV00000054,CUST00938,SRV000485,2023-04-04,2023-05-03,Basic,MYR,58.75,29.39,1.76,31.12,Bank Transfer
INV00000055,CUST01000,SRV000968,2022-06-21,2022-07-20,Premium,MYR,1320.24,34.51,77.14,1362.87,Direct Debit
INV00000056,CUST00489,SRV000682,2018-09-10,2018-10-09,Premium,MYR,901.51,29.17,52.34,924.68,E Wallet
INV00000057,CUST01174,SRV000155,2022-05-06,2022-06-04,Premium,MYR,1051.13,38.83,60.74,1073.04,FPX
INV00000058,CUST00585,SRV001350,2024-02-24,2024-03-24,Enterprise,MYR,1241.37,16.5,73.49,1298.36,FPX
INV00000059,CUST00897,SRV001409,2023-03-13,2023-04-11,Enterprise,MYR,699.27,37.97,39.68,700.98,Bank Transfer
INV00000060,CUST00656,SRV000997,2020-05-11,2020-06-09,Enterprise,MYR,325.39,14.41,18.66,329.64,Bank Transfer
INV00000061,CUST01045,SRV000234,2024-04-26,2024-05-25,Enterprise,MYR,752.39,7.73,44.68,789.34,Direct Debit
INV00000062,CUST00559,SRV000347,2021-01-25,2021-02-23,Premium,MYR,502.07,43.84,27.49,485.72,FPX
INV00000063,CUST00236,SRV000421,2020-11-15,2020-12-14,Enterprise,MYR,690.23,33.83,39.38,695.78,E Wallet
INV00000064,CUST00660,SRV000270,2025-12-20,2026-01-18,Enterprise,MYR,358.63,25.89,19.96,352.7,FPX
INV00000065,CUST00524,SRV000917,2020-06-08,2020-07-07,Enterprise,MYR,178.84,36.44,8.54,150.94,Bank Transfer
INV00000066,CUST01117,SRV001168,2021-02-26,2021-03-27,Premium,MYR,986.78,13.15,58.42,1032.05,FPX
INV00000067,CUST01171,SRV000153,2019-03-09,2019-04-07,Enterprise,MYR,1055.43,26.46,61.74,1090.71,Bank Transfer
INV00000068,CUST00215,SRV001063,2023-05-29,2023-06-27,Basic,MYR,147.49,3.53,8.64,152.6,Bank Transfer
INV00000069,CUST00874,SRV000299,2024-10-10,2024-11-08,Enterprise,MYR,159.56,34.7,7.49,132.35,E Wallet
INV00000070,CUST00599,SRV000993,2025-09-12,2025-10-11,Standard,MYR,150.03,39.75,6.62,116.9,Bank Transfer
INV00000071,CUST00882,SRV000217,2021-03-05,2021-04-03,Standard,MYR,158.46,32.55,7.55,133.46,Credit Card
INV00000072,CUST01177,SRV001299,2019-11-18,2019-12-17,Enterprise,MYR,689.59,16.65,40.38,713.32,Credit Card
INV00000073,CUST00859,SRV001333,2024-07-18,2024-08-16,Enterprise,MYR,1386.79,15.8,82.26,1453.25,E Wallet
INV00000074,CUST00681,SRV000071,2021-03-11,2021-04-09,Enterprise,MYR,997.55,3.67,59.63,1053.51,FPX
INV00000075,CUST00360,SRV000439,2022-01-15,2022-02-13,Premium,MYR,505.63,27.31,28.7,507.02,E Wallet
INV00000076,CUST01076,SRV001193,2022-03-04,2022-04-02,Premium,MYR,590.28,47.16,32.59,575.71,Bank Transfer
INV00000077,CUST00522,SRV001054,2024-04-09,2024-05-08,Enterprise,MYR,645.64,26.26,37.16,656.54,Credit Card
INV00000078,CUST01171,SRV000188,2018-12-11,2019-01-09,Basic,MYR,48.21,14.12,2.05,36.14,Bank Transfer
INV00000079,CUST00471,SRV000358,2018-12-09,2019-01-07,Premium,MYR,110.27,39.0,4.28,75.55,FPX
INV00000080,CUST00815,SRV000848,2019-12-15,2020-01-13,Standard,MYR,189.91,16.68,10.39,183.62,Bank Transfer
INV00000081,CUST00355,SRV001144,2025-04-13,2025-05-12,Enterprise,MYR,539.39,38.49,30.05,530.95,Bank Transfer
INV00000082,CUST01110,SRV000429,2020-09-02,2020-10-01,Standard,MYR,411.83,42.02,22.19,392.0,FPX
INV00000083,CUST00671,SRV000356,2024-12-05,2025-01-03,Premium,MYR,178.68,42.68,8.16,144.16,Bank Transfer
INV00000084,CUST00552,SRV000436,2021-01-14,2021-02-12,Premium,MYR,654.25,3.63,39.04,689.66,Credit Card
INV00000085,CUST01133,SRV001203,2025-01-02,2025-01-31,Premium,MYR,2502.58,11.65,149.46,2640.39,FPX
INV00000086,CUST00671,SRV000609,2025-09-03,2025-10-02,Premium,MYR,260.65,29.56,13.87,244.96,Bank Transfer
INV00000087,CUST00609,SRV000961,2021-02-04,2021-03-05,Enterprise,MYR,364.14,38.57,19.53,345.1,Bank Transfer
INV00000088,CUST01007,SRV001050,2025-02-21,2025-03-22,Premium,MYR,170.63,27.77,8.57,151.43,Bank Transfer
INV00000089,CUST00585,SRV001139,2024-08-26,2024-09-24,Premium,MYR,664.27,26.28,38.28,676.27,FPX
INV00000090,CUST01000,SRV000968,2023-02-16,2023-03-17,Enterprise,MYR,415.97,4.57,24.68,436.08,Direct Debit
INV00000091,CUST01076,SRV001419,2021-01-03,2021-02-01,Basic,MYR,41.1,7.97,1.99,35.12,Bank Transfer
INV00000092,CUST00009,SRV000792,2021-07-07,2021-08-05,Premium,MYR,223.67,0.37,13.4,236.7,Bank Transfer
INV00000093,CUST00690,SRV000118,2020-01-24,2020-02-22,Premium,MYR,219.48,3.61,12.95,228.82,Direct Debit
INV00000094,CUST01094,SRV001081,2024-03-31,2024-04-29,Enterprise,MYR,1222.52,0.85,73.3,1294.97,Direct Debit
INV00000095,CUST00801,SRV000364,2025-04-26,2025-05-25,Standard,MYR,447.47,24.7,25.37,448.14,FPX
INV00000096,CUST00890,SRV000645,2020-06-05,2020-07-04,Premium,MYR,1334.75,26.65,78.49,1386.59,FPX
INV00000097,CUST01085,SRV001252,2019-11-01,2019-11-30,Standard,MYR,265.8,1.22,15.87,280.45,Direct Debit
INV00000098,CUST01103,SRV000536,2024-09-15,2024-10-14,Enterprise,MYR,1360.17,43.27,79.01,1395.91,Bank Transfer
INV00000099,CUST00298,SRV000343,2025-12-18,2026-01-16,Basic,MYR,115.6,28.32,5.24,92.52,E Wallet
INV00000100,CUST00666,SRV000020,2020-10-11,2020-11-09,Standard,MYR,105.76,46.71,3.54,62.59,FPX
INV00000101,CUST01174,SRV000039,2022-01-11,2022-02-09,Basic,MYR,48.19,32.94,0.91,16.16,FPX
INV00000102,CUST00132,SRV000371,2025-03-21,2025-04-19,Enterprise,MYR,191.88,19.85,10.32,182.35,Bank Transfer
INV00000103,CUST00111,SRV001306,2024-01-30,2024-02-28,Basic,MYR,200.7,32.62,10.08,178.16,Bank Transfer
INV00000104,CUST00930,SRV000154,2021-09-28,2021-10-27,Standard,MYR,187.65,8.83,10.73,189.55,Direct Debit
INV00000105,CUST00791,SRV001159,2020-06-16,2020-07-15,Premium,MYR,1282.28,15.59,76.0,1342.69,E Wallet
INV00000106,CUST00930,SRV000154,2023-03-22,2023-04-20,Standard,MYR,170.65,19.38,9.08,160.35,Direct Debit
INV00000107,CUST00764,SRV001443,2022-04-03,2022-05-02,Enterprise,MYR,589.64,23.27,33.98,600.35,FPX
INV00000108,CUST00047,SRV000293,2020-04-28,2020-05-27,Premium,MYR,247.22,37.15,12.6,222.67,E Wallet
INV00000109,CUST00330,SRV000747,2019-06-16,2019-07-15,Basic,MYR,172.02,42.12,7.79,137.69,FPX
INV00000110,CUST00883,SRV000420,2023-12-27,2024-01-25,Enterprise,MYR,1071.73,48.03,61.42,1085.12,E Wallet
INV00000111,CUST00751,SRV000743,2024-05-26,2024-06-24,Premium,MYR,770.57,35.51,44.1,779.16,E Wallet
INV00000112,CUST01055,SRV000863,2021-04-03,2021-05-02,Enterprise,MYR,1466.37,1.78,87.88,1552.47,Credit Card
INV00000113,CUST00008,SRV001181,2024-05-29,2024-06-27,Enterprise,MYR,1419.87,24.27,83.74,1479.34,Bank Transfer
INV00000114,CUST00655,SRV000073,2022-04-08,2022-05-07,Premium,MYR,2525.34,47.38,148.68,2626.64,E Wallet
INV00000115,CUST00582,SRV000206,2021-10-05,2021-11-03,Basic,MYR,43.43,6.28,2.23,39.38,E Wallet
INV00000116,CUST00583,SRV001212,2025-07-05,2025-08-03,Premium,MYR,153.36,43.25,6.61,116.72,E Wallet
INV00000117,CUST00094,SRV001202,2023-10-24,2023-11-22,Enterprise,MYR,784.05,23.89,45.61,805.77,Bank Transfer
INV00000118,CUST00267,SRV000192,2025-02-20,2025-03-21,Premium,MYR,639.36,31.59,36.47,644.24,Direct Debit
INV00000119,CUST00758,SRV000860,2021-12-19,2022-01-17,Premium,MYR,195.54,28.17,10.04,177.41,Bank Transfer
INV00000120,CUST00005,SRV000456,2020-09-02,2020-10-01,Premium,MYR,579.61,25.87,33.22,586.96,FPX
INV00000121,CUST00136,SRV000742,2023-01-14,2023-02-12,Premium,MYR,139.03,30.25,6.53,115.31,Credit Card
INV00000122,CUST00762,SRV001205,2024-02-29,2024-03-29,Basic,MYR,56.47,0.97,3.33,58.83,Direct Debit
INV00000123,CUST00305,SRV000024,2023-10-26,2023-11-24,Enterprise,MYR,332.56,7.08,19.53,345.01,Bank Transfer
INV00000124,CUST01042,SRV000773,2021-12-10,2022-01-08,Standard,MYR,130.31,35.67,5.68,100.32,FPX
INV00000125,CUST00324,SRV000882,2020-09-18,2020-10-17,Basic,MYR,43.82,6.06,2.27,40.03,FPX
INV00000126,CUST00806,SRV000802,2024-11-03,2024-12-02,Basic,MYR,39.11,41.52,-0.14,-2.55,Credit Card
INV00000127,CUST01100,SRV000037,2021-09-20,2021-10-19,Basic,MYR,50.55,38.43,0.73,12.85,Bank Transfer
INV00000128,CUST00322,SRV000759,2020-08-14,2020-09-12,Enterprise,MYR,402.53,37.14,21.92,387.31,Credit Card
INV00000129,CUST00802,SRV001317,2022-09-22,2022-10-21,Basic,MYR,40.17,25.1,0.9,15.97,Direct Debit
INV00000130,CUST01021,SRV001323,2021-01-12,2021-02-10,Premium,MYR,241.29,8.46,13.97,246.8,Bank Transfer
INV00000131,CUST00742,SRV000195,2024-04-24,2024-05-23,Enterprise,MYR,218.35,26.12,11.53,203.76,Direct Debit
INV00000132,CUST00310,SRV001237,2021-06-15,2021-07-14,Premium,MYR,397.65,42.15,21.33,376.83,E Wallet
INV00000133,CUST00878,SRV000230,2025-01-15,2025-02-13,Enterprise,MYR,242.05,48.45,11.62,205.22,E Wallet
INV00000134,CUST00257,SRV000246,2022-09-24,2022-10-23,Premium,MYR,706.85,45.18,39.7,701.37,E Wallet
INV00000135,CUST00067,SRV000970,2022-04-22,2022-05-21,Enterprise,MYR,2506.03,14.03,149.52,2641.52,Bank Transfer
INV00000136,CUST00921,SRV000193,2019-08-20,2019-09-18,Premium,MYR,1060.44,33.68,61.61,1088.37,FPX
INV00000137,CUST00726,SRV001056,2020-05-17,2020-06-15,Basic,MYR,57.92,49.58,0.5,8.84,Direct Debit
INV00000138,CUST00322,SRV001238,2021-07-19,2021-08-17,Enterprise,MYR,1364.44,26.9,80.25,1417.79,Credit Card
INV00000139,CUST00972,SRV001304,2025-01-04,2025-02-02,Standard,MYR,220.38,8.23,12.73,224.88,FPX
INV00000140,CUST00471,SRV000292,2018-04-13,2018-05-12,Enterprise,MYR,2613.29,47.29,153.96,2719.96,FPX
INV00000141,CUST01155,SRV000996,2022-02-09,2022-03-10,Standard,MYR,228.41,19.17,12.55,221.79,Direct Debit
INV00000142,CUST00238,SRV001380,2024-01-24,2024-02-22,Premium,MYR,569.6,18.83,33.05,583.82,Direct Debit
INV00000143,CUST00724,SRV000605,2018-05-14,2018-06-12,Enterprise,MYR,339.46,7.13,19.94,352.27,E Wallet
INV00000144,CUST00572,SRV001456,2019-12-22,2020-01-20,Enterprise,MYR,224.75,45.34,10.76,190.17,Direct Debit
INV00000145,CUST00740,SRV000897,2024-03-07,2024-04-05,Basic,MYR,45.74,3.22,2.55,45.07,FPX
INV00000146,CUST00919,SRV000608,2021-03-12,2021-04-10,Basic,MYR,50.61,17.76,1.97,34.82,FPX
INV00000147,CUST00365,SRV001147,2020-05-20,2020-06-18,Premium,MYR,244.35,30.86,12.81,226.3,FPX
INV00000148,CUST01005,SRV000038,2025-02-02,2025-03-03,Enterprise,MYR,1262.53,9.79,75.16,1327.9,Bank Transfer
INV00000149,CUST00513,SRV000646,2020-11-09,2020-12-08,Enterprise,MYR,838.08,22.45,48.94,864.57,Direct Debit
INV00000150,CUST00345,SRV000285,2021-11-30,2021-12-29,Standard,MYR,135.09,31.46,6.22,109.85,Bank Transfer
INV00000151,CUST01165,SRV000078,2023-05-12,2023-06-10,Premium,MYR,1913.73,47.02,112.0,1978.71,Direct Debit
INV00000152,CUST01186,SRV000535,2020-02-02,2020-03-02,Premium,MYR,1038.47,5.82,61.96,1094.61,Credit Card
INV00000153,CUST01149,SRV001454,2022-07-21,2022-08-19,Enterprise,MYR,1604.88,7.54,95.84,1693.18,FPX
INV00000154,CUST00170,SRV000406,2020-11-19,2020-12-18,Premium,MYR,1599.23,5.62,95.62,1689.23,Bank Transfer
INV00000155,CUST00004,SRV000122,2021-06-25,2021-07-24,Premium,MYR,417.63,18.15,23.97,423.45,Direct Debit
INV00000156,CUST00233,SRV000688,2020-12-23,2021-01-21,Premium,MYR,1058.96,4.01,63.3,1118.25,Bank Transfer
INV00000157,CUST00540,SRV000522,2025-11-24,2025-12-23,Premium,MYR,785.14,9.32,46.55,822.37,E Wallet
INV00000158,CUST00612,SRV000383,2023-02-14,2023-03-15,Premium,MYR,1379.73,17.32,81.74,1444.15,Bank Transfer
INV00000159,CUST00953,SRV000142,2020-09-16,2020-10-15,Enterprise,MYR,322.84,1.58,19.28,340.54,Bank Transfer
INV00000160,CUST01070,SRV000796,2019-06-08,2019-07-07,Premium,MYR,345.62,17.55,19.68,347.75,E Wallet
INV00000161,CUST00032,SRV001126,2018-11-27,2018-12-26,Premium,MYR,1884.27,22.28,111.72,1973.71,E Wallet
INV00000162,CUST01115,SRV001257,2021-09-22,2021-10-21,Basic,MYR,43.23,42.39,0.05,0.89,FPX
INV00000163,CUST00539,SRV000832,2024-06-07,2024-07-06,Basic,MYR,159.79,45.86,6.84,120.77,Direct Debit
INV00000164,CUST00512,SRV001113,2025-02-12,2025-03-13,Premium,MYR,207.21,48.78,9.51,167.94,FPX
INV00000165,CUST00989,SRV000889,2019-05-26,2019-06-24,Premium,MYR,1255.84,39.07,73.01,1289.78,FPX
INV00000166,CUST00469,SRV000784,2021-11-25,2021-12-24,Basic,MYR,46.73,36.04,0.64,11.33,FPX
INV00000167,CUST00593,SRV000983,2020-09-14,2020-10-13,Basic,MYR,44.19,27.75,0.99,17.43,E Wallet
INV00000168,CUST00150,SRV000729,2019-09-12,2019-10-11,Premium,MYR,630.16,2.39,37.67,665.44,Bank Transfer
INV00000169,CUST01103,SRV000536,2025-05-13,2025-06-11,Premium,MYR,2361.7,3.89,141.47,2499.28,Bank Transfer
INV00000170,CUST00192,SRV000627,2023-07-30,2023-08-28,Premium,MYR,381.52,44.14,20.24,357.62,Credit Card
INV00000171,CUST00588,SRV001189,2025-04-05,2025-05-04,Premium,MYR,484.52,5.99,28.71,507.24,FPX
INV00000172,CUST00098,SRV000296,2020-02-22,2020-03-22,Premium,MYR,160.43,38.24,7.33,129.52,Bank Transfer
INV00000173,CUST00078,SRV000220,2020-02-18,2020-03-18,Standard,MYR,216.01,42.92,10.39,183.48,FPX
INV00000174,CUST00115,SRV000661,2022-12-01,2022-12-30,Enterprise,MYR,241.62,12.31,13.76,243.07,Direct Debit
INV00000175,CUST00771,SRV001378,2024-03-23,2024-04-21,Enterprise,MYR,638.55,28.22,36.62,646.95,FPX
INV00000176,CUST00234,SRV001100,2021-07-20,2021-08-18,Premium,MYR,2652.75,28.14,157.48,2782.09,Bank Transfer
INV00000177,CUST00196,SRV001084,2025-02-21,2025-03-22,Enterprise,MYR,270.69,42.81,13.67,241.55,Credit Card
INV00000178,CUST01027,SRV001239,2023-03-05,2023-04-03,Basic,MYR,58.99,2.14,3.41,60.26,FPX
INV00000179,CUST01181,SRV000694,2019-03-24,2019-04-22,Basic,MYR,188.12,24.45,9.82,173.49,E Wallet
INV00000180,CUST00881,SRV000031,2023-07-17,2023-08-15,Premium,MYR,677.71,11.35,39.98,706.34,E Wallet
INV00000181,CUST00978,SRV001080,2020-02-29,2020-03-29,Premium,MYR,335.98,21.54,18.87,333.31,Direct Debit
INV00000182,CUST00867,SRV000973,2024-12-04,2025-01-02,Enterprise,MYR,535.11,34.8,30.02,530.33,E Wallet
INV00000183,CUST00264,SRV000134,2024-07-18,2024-08-16,Basic,MYR,56.3,6.15,3.01,53.16,FPX
INV00000184,CUST01181,SRV000036,2019-06-17,2019-07-16,Basic,MYR,39.25,24.48,0.89,15.66,E Wallet
INV00000185,CUST00376,SRV000208,2021-08-08,2021-09-06,Enterprise,MYR,245.5,17.7,13.67,241.47,Direct Debit
INV00000186,CUST00567,SRV000994,2023-12-22,2024-01-20,Premium,MYR,239.34,35.33,12.24,216.25,Direct Debit
INV00000187,CUST00764,SRV000051,2022-10-08,2022-11-06,Premium,MYR,2724.07,12.36,162.7,2874.41,FPX
INV00000188,CUST00076,SRV000932,2020-04-29,2020-05-28,Enterprise,MYR,284.72,32.18,15.15,267.69,Bank Transfer
INV00000189,CUST00693,SRV000504,2022-10-09,2022-11-07,Standard,MYR,233.71,18.63,12.9,227.98,FPX
INV00000190,CUST00917,SRV001015,2019-05-02,2019-05-31,Enterprise,MYR,539.65,23.09,30.99,547.55,Direct Debit
INV00000191,CUST00393,SRV000335,2022-02-15,2022-03-16,Premium,MYR,172.02,20.45,9.09,160.66,Bank Transfer
INV00000192,CUST00307,SRV000337,2021-11-26,2021-12-25,Premium,MYR,155.21,48.16,6.42,113.47,Direct Debit
INV00000193,CUST00272,SRV000468,2023-01-23,2023-02-21,Premium,MYR,447.85,43.09,24.29,429.05,Credit Card
INV00000194,CUST01126,SRV001262,2022-10-26,2022-11-24,Premium,MYR,624.4,20.27,36.25,640.38,Credit Card
INV00000195,CUST00895,SRV000658,2020-08-06,2020-09-04,Premium,MYR,750.55,13.28,44.24,781.51,Credit Card
INV00000196,CUST00497,SRV001404,2024-04-28,2024-05-27,Standard,MYR,134.74,44.64,5.41,95.51,FPX
INV00000197,CUST00150,SRV000814,2020-03-05,2020-04-03,Basic,MYR,52.04,11.53,2.43,42.94,Bank Transfer
INV00000198,CUST00191,SRV001183,2022-11-06,2022-12-05,Enterprise,MYR,400.02,34.76,21.92,387.18,E Wallet
INV00000199,CUST00267,SRV000176,2025-02-09,2025-03-10,Basic,MYR,51.66,21.57,1.81,31.9,Direct Debit
INV00000200,CUST01185,SRV000726,2020-06-19,2020-07-18,Basic,MYR,51.55,29.15,1.34,23.74,E Wallet
INV00000201,CUST00684,SRV000965,2021-04-12,2021-05-11,Basic,MYR,179.42,9.3,10.21,180.33,E Wallet
INV00000202,CUST00346,SRV000487,2025-11-04,2025-12-03,Basic,MYR,53.99,22.07,1.92,33.84,Credit Card
INV00000203,CUST00213,SRV001493,2025-08-09,2025-09-07,Enterprise,MYR,524.2,2.26,31.32,553.26,Bank Transfer
INV00000204,CUST00793,SRV000447,2025-02-11,2025-03-12,Enterprise,MYR,981.95,3.75,58.69,1036.89,Direct Debit
INV00000205,CUST00553,SRV000706,2022-06-25,2022-07-24,Standard,MYR,150.47,40.24,6.61,116.84,E Wallet
INV00000206,CUST00936,SRV001151,2024-02-10,2024-03-10,Standard,MYR,162.73,5.43,9.44,166.74,Bank Transfer
INV00000207,CUST00301,SRV000588,2024-04-10,2024-05-09,Premium,MYR,175.26,8.53,10.0,176.73,Bank Transfer
INV00000208,CUST00033,SRV000912,2022-04-11,2022-05-10,Enterprise,MYR,799.64,24.07,46.53,822.1,FPX
INV00000209,CUST00797,SRV000469,2025-06-04,2025-07-03,Enterprise,MYR,357.35,41.24,18.97,335.08,E Wallet
INV00000210,CUST00133,SRV000663,2023-11-01,2023-11-30,Enterprise,MYR,716.03,22.6,41.61,735.04,E Wallet
INV00000211,CUST00366,SRV000398,2019-05-07,2019-06-05,Standard,MYR,411.38,25.59,23.15,408.94,Credit Card
INV00000212,CUST00388,SRV000670,2025-08-01,2025-08-30,Basic,MYR,42.52,20.12,1.34,23.74,Credit Card
INV00000213,CUST00067,SRV000970,2022-04-22,2022-05-21,Premium,MYR,534.49,43.41,29.46,520.54,Bank Transfer
INV00000214,CUST01056,SRV001071,2025-06-17,2025-07-16,Enterprise,MYR,490.67,9.72,28.86,509.81,FPX
INV00000215,CUST00903,SRV000256,2022-06-25,2022-07-24,Enterprise,MYR,458.05,36.79,25.28,446.54,FPX
INV00000216,CUST00477,SRV000214,2025-10-11,2025-11-09,Standard,MYR,186.06,0.49,11.13,196.7,Direct Debit
INV00000217,CUST00306,SRV001085,2020-07-19,2020-08-17,Basic,MYR,56.8,39.61,1.03,18.22,Credit Card
INV00000218,CUST01079,SRV000542,2020-01-10,2020-02-08,Standard,MYR,400.42,33.55,22.01,388.88,Bank Transfer
INV00000219,CUST00711,SRV000577,2021-12-11,2022-01-09,Premium,MYR,422.57,9.23,24.8,438.14,E Wallet
