service_id,customer_id,service_category,service_status,region,access_technology,router_model,device_os,sla_tier,service_start_date,service_end_date,bandwidth_mbps,monthly_usage_gb,avg_latency_ms,jitter_ms,monthly_outages
SRV000014,CUST00023,Cloud Compute,Active,East Coast,4G/LTE,Huawei HG8145V5,Embedded,Silver,2020-10-19,,100,1363,53,29,6
SRV000015,CUST00471,Unifi Business,Active,Northern,DSL,Huawei HG8145V5,Embedded,Silver,2018-05-23,,500,229,92,29,4
SRV000016,CUST00205,Cloud Compute,Active,East Coast,Fibre,TP Link Archer A6,macOS,Gold,2019-02-20,,300,1470,5,6,2
SRV000017,CUST00573,Mobile Postpaid,Suspended,Southern,4G/LTE,ZTE ZXHN F670L,Embedded,Silver,2022-03-02,,100,43,27,22,5
SRV000018,CUST01055,Cloud Storage,Provisioning,Sabah,5G,D Link DIR 842,Windows,Bronze,2020-12-28,,500,311,19,16,2
SRV000019,CUST00395,IoT Connectivity,Active,East Coast,4G/LTE,ZTE ZXHN F670L,iOS,Silver,2023-10-18,,500,1403,28,10,6
SRV000020,CUST00666,Unifi Home,Provisioning,Northern,Fibre,Nokia G 2425G A,iOS,Bronze,2019-04-20,,100,255,11,11,1
SRV000021,CUST00655,IoT Connectivity,Active,Central,4G/LTE,Nokia G 2425G A,macOS,Platinum,2021-04-08,,300,595,50,13,5
SRV000022,CUST00782,Managed Security,Active,Southern,5G,Nokia G 2425G A,iOS,Gold,2020-09-23,,500,578,17,18,3
SRV000023,CUST00192,Cloud Compute,Active,Northern,Fibre,Nokia G 2425G A,iOS,Silver,2022-12-29,,300,725,9,9,2
SRV000024,CUST00305,Cloud Compute,Active,Central,5G,Huawei HG8145V5,macOS,Silver,2023-10-26,,1000,491,16,26,2
SRV000025,CUST01060,IoT Connectivity,Active,Sarawak,Fibre,TP Link Archer A6,iOS,Silver,2024-02-15,,1000,993,13,24,0
SRV000026,CUST01040,Cloud Storage,Provisioning,Sabah,5G,TP Link Archer A6,iOS,Bronze,2021-06-12,,300,885,29,5,4
SRV000027,CUST00676,Cloud Storage,Active,Northern,5G,Huawei HG8145V5,Windows,Gold,2019-04-16,,500,434,27,21,4
SRV000028,CUST00765,Cloud Compute,Suspended,Northern,5G,ZTE ZXHN F670L,iOS,Silver,2021-05-19,,1000,680,20,7,2
SRV000029,CUST00197,Cloud Storage,Active,Southern,Fibre,TP Link Archer A6,Linux,Bronze,2022-01-28,,300,109,6,25,2
SRV000030,CUST00697,Cloud Storage,Active,Central,4G/LTE,D Link DIR 842,iOS,Platinum,2018-03-24,,1000,1465,44,17,3
SRV000031,CUST00881,Cloud Storage,Active,Central,4G/LTE,Nokia G 2425G A,Windows,Bronze,2021-08-26,,100,1037,64,28,6
SRV000032,CUST00046,Cloud Storage,Active,Sabah,Fibre,TP Link Archer A6,macOS,Bronze,2024-06-03,,100,153,11,26,2
SRV000033,CUST00534,Managed Security,Active,East Coast,5G,D Link DIR 842,Windows,Silver,2024-02-25,,100,1436,20,3,4
SRV000034,CUST01035,Cloud Storage,Terminated,Northern,4G/LTE,ZTE ZXHN F670L,Linux,Bronze,2022-09-16,2023-08-09,300,518,38,23,1
SRV000035,CUST00754,Cloud Storage,Active,Sarawak,5G,ZTE ZXHN F670L,Windows,Bronze,2020-09-22,,500,937,23,28,5
SRV000036,CUST01181,Mobile Postpaid,Active,Northern,4G/LTE,ZTE ZXHN F670L,iOS,Gold,2018-08-21,,30,131,24,16,6
SRV000037,CUST01100,Mobile Postpaid,Suspended,Northern,4G/LTE,ZTE ZXHN F670L,Windows,Platinum,2021-02-22,,30,81,54,11,6
SRV000038,CUST01005,Managed Security,Provisioning,Northern,5G,TP Link Archer A6,macOS,Platinum,2024-12-07,,1000,610,26,21,2
SRV000039,CUST01174,Mobile Postpaid,Provisioning,Central,4G/LTE,Nokia G 2425G A,Android,Silver,2021-11-12,,100,109,34,1,5
SRV000040,CUST00174,Unifi Home,Provisioning,Central,DSL,Huawei HG8145V5,Linux,Silver,2018-08-24,,1000,882,90,26,4
SRV000041,CUST00427,Unifi Business,Provisioning,East Coast,Fibre,Nokia G 2425G A,Windows,Silver,2018-06-01,,800,1141,16,17,1
SRV000042,CUST00973,Unifi Home,Suspended,Central,Fibre,D Link DIR 842,iOS,Bronze,2018-04-08,2020-10-08,800,641,13,10,2
SRV000043,CUST00577,Mobile Postpaid,Active,Central,4G/LTE,D Link DIR 842,macOS,Silver,2024-04-28,,30,79,26,18,0
SRV000044,CUST00309,Cloud Compute,Active,East Coast,5G,D Link DIR 842,Android,Silver,2023-05-23,,1000,550,13,29,3
SRV000045,CUST00618,Cloud Storage,Suspended,East Coast,5G,D Link DIR 842,Linux,Silver,2024-06-28,2025-12-02,1000,601,22,15,4
SRV000046,CUST00642,Unifi Business,Active,Central,DSL,Nokia G 2425G A,macOS,Silver,2018-03-20,,500,1804,143,25,6
SRV000047,CUST00767,Cloud Compute,Provisioning,Northern,4G/LTE,Huawei HG8145V5,Windows,Gold,2024-01-27,,300,1303,42,28,1
SRV000048,CUST00914,Managed Security,Provisioning,Southern,Fibre,Huawei HG8145V5,Linux,Silver,2020-03-10,,1000,676,5,9,0
SRV000049,CUST00047,Cloud Storage,Active,Southern,5G,ZTE ZXHN F670L,Windows,Silver,2018-12-22,,300,710,12,3,2
SRV000050,CUST00965,Mobile Postpaid,Provisioning,Northern,5G,ZTE ZXHN F670L,macOS,Silver,2022-03-01,,30,91,11,26,3
SRV000051,CUST00764,Managed Security,Active,East Coast,4G/LTE,Huawei HG8145V5,iOS,Gold,2021-09-13,,500,600,53,26,2
SRV000052,CUST00866,Cloud Compute,Active,Northern,Fibre,Huawei HG8145V5,Embedded,Bronze,2021-03-19,,1000,165,5,28,0
SRV000053,CUST00533,Managed Security,Active,Northern,4G/LTE,ZTE ZXHN F670L,Android,Bronze,2020-11-13,,500,1297,68,22,2
SRV000054,CUST00864,Unifi Home,Active,Northern,Fibre,Nokia G 2425G A,macOS,Silver,2022-07-26,,500,364,7,18,0
SRV000055,CUST00652,Mobile Postpaid,Provisioning,Central,4G/LTE,TP Link Archer A6,Linux,Bronze,2022-11-09,,100,140,48,14,0
SRV000056,CUST01046,Cloud Storage,Active,Central,4G/LTE,ZTE ZXHN F670L,Windows,Silver,2024-09-05,,1000,918,62,21,6
SRV000057,CUST00786,IoT Connectivity,Suspended,Central,4G/LTE,Nokia G 2425G A,Android,Gold,2019-08-14,,1000,802,58,19,2
SRV000058,CUST00035,Unifi Home,Active,Northern,Fibre,Huawei HG8145V5,Embedded,Bronze,2023-06-15,,1000,1642,10,16,1
SRV000059,CUST00586,Unifi Business,Active,Northern,DSL,Huawei HG8145V5,macOS,Gold,2021-11-08,,300,337,112,2,2
SRV000060,CUST00138,Cloud Compute,Suspended,Southern,4G/LTE,D Link DIR 842,Linux,Bronze,2021-07-16,,1000,598,33,18,4
SRV000061,CUST00185,Cloud Compute,Active,Central,4G/LTE,Nokia G 2425G A,Windows,Bronze,2023-07-29,,500,719,72,5,0
SRV000062,CUST00385,Cloud Compute,Active,Central,5G,ZTE ZXHN F670L,Android,Gold,2023-11-04,,300,562,26,16,5
SRV000063,CUST00463,Cloud Compute,Terminated,Southern,4G/LTE,D Link DIR 842,Linux,Bronze,2025-02-17,,500,295,33,3,1
SRV000064,CUST00751,Unifi Business,Active,Sabah,Fibre,Huawei HG8145V5,Windows,Gold,2024-04-21,,500,1056,15,18,0
SRV000065,CUST00716,Cloud Compute,Terminated,Central,4G/LTE,Nokia G 2425G A,Windows,Gold,2022-11-06,2023-05-06,1000,1227,58,11,2
SRV000066,CUST00119,Cloud Compute,Provisioning,Central,4G/LTE,ZTE ZXHN F670L,iOS,Platinum,2020-05-15,,1000,776,43,26,4
SRV000067,CUST00227,Managed Security,Active,East Coast,4G/LTE,Huawei HG8145V5,iOS,Gold,2021-01-22,,300,737,54,25,4
SRV000068,CUST00188,IoT Connectivity,Suspended,Central,Fibre,ZTE ZXHN F670L,iOS,Platinum,2019-11-28,,500,888,11,9,0
SRV000069,CUST00355,Cloud Storage,Terminated,Northern,Fibre,Nokia G 2425G A,Windows,Gold,2023-06-25,2025-12-11,100,1303,8,6,0
SRV000070,CUST01055,Cloud Compute,Active,Sabah,Fibre,TP Link Archer A6,Android,Platinum,2020-11-22,,1000,280,11,8,0
SRV000071,CUST00681,Cloud Compute,Active,Central,Fibre,ZTE ZXHN F670L,Windows,Bronze,2019-06-20,,100,729,14,1,1
SRV000072,CUST00904,Unifi Home,Provisioning,Sabah,Fibre,ZTE ZXHN F670L,macOS,Platinum,2024-11-19,,500,1457,14,22,1
SRV000073,CUST00655,Managed Security,Active,Central,4G/LTE,D Link DIR 842,iOS,Gold,2021-05-13,,500,721,27,26,4
SRV000074,CUST00377,IoT Connectivity,Active,Northern,Fibre,D Link DIR 842,macOS,Gold,2022-08-29,,500,798,9,2,1
SRV000075,CUST00629,Unifi Business,Terminated,Central,DSL,ZTE ZXHN F670L,Android,Silver,2018-01-28,2020-08-04,800,1512,128,23,4
SRV000076,CUST00192,Unifi Home,Active,Northern,DSL,Nokia G 2425G A,Embedded,Bronze,2023-03-22,,500,474,95,13,4
SRV000077,CUST00290,Cloud Storage,Suspended,Sabah,Fibre,Huawei HG8145V5,Embedded,Bronze,2020-08-12,2021-09-11,1000,449,17,27,2
SRV000078,CUST01165,Managed Security,Terminated,Sarawak,Fibre,Nokia G 2425G A,iOS,Gold,2021-10-19,,100,107,5,12,2
SRV000079,CUST00472,Cloud Compute,Provisioning,Sabah,4G/LTE,TP Link Archer A6,Linux,Silver,2022-12-27,,1000,200,65,7,1
SRV000080,CUST00299,Unifi Business,Active,Southern,Fibre,D Link DIR 842,Windows,Gold,2022-01-21,,800,1705,9,9,0
SRV000081,CUST01140,Cloud Storage,Terminated,Sabah,Fibre,Nokia G 2425G A,Windows,Bronze,2020-04-10,,100,778,5,23,0
SRV000082,CUST01057,Cloud Storage,Active,Southern,5G,ZTE ZXHN F670L,Windows,Silver,2023-03-05,,300,636,10,14,6
SRV000083,CUST00735,Cloud Storage,Suspended,Southern,5G,D Link DIR 842,Linux,Gold,2022-01-03,,100,1286,10,9,6
SRV000084,CUST00171,Cloud Compute,Active,Northern,4G/LTE,TP Link Archer A6,iOS,Bronze,2022-10-16,,500,1384,73,12,3
SRV000085,CUST00276,Cloud Compute,Active,Northern,5G,Nokia G 2425G A,macOS,Platinum,2022-06-10,,1000,811,23,23,4
SRV000086,CUST00487,Unifi Home,Active,East Coast,Fibre,ZTE ZXHN F670L,Linux,Silver,2022-05-30,,1000,247,7,4,2
SRV000087,CUST00397,Cloud Storage,Active,Central,5G,D Link DIR 842,macOS,Bronze,2022-08-01,,100,1282,29,1,1
SRV000088,CUST01043,Unifi Home,Active,Southern,Fibre,TP Link Archer A6,macOS,Silver,2024-07-05,,300,1347,10,23,2
SRV000089,CUST00594,Cloud Storage,Active,Northern,4G/LTE,ZTE ZXHN F670L,Windows,Silver,2018-05-12,,100,840,34,10,3
SRV000090,CUST00263,Mobile Postpaid,Active,Central,5G,D Link DIR 842,Linux,Bronze,2019-10-31,,100,76,14,22,5
SRV000091,CUST00807,Managed Security,Active,Northern,4G/LTE,TP Link Archer A6,macOS,Gold,2019-03-05,,1000,779,44,23,5
SRV000092,CUST00306,Mobile Postpaid,Active,Northern,5G,Huawei HG8145V5,macOS,Gold,2020-08-21,,30,48,26,7,1
SRV000093,CUST00503,Cloud Storage,Active,Northern,5G,Nokia G 2425G A,macOS,Silver,2019-02-12,,500,1495,23,16,3
SRV000094,CUST01015,Unifi Home,Active,Sabah,Fibre,TP Link Archer A6,macOS,Bronze,2024-06-30,,500,1376,15,27,2
SRV000095,CUST00973,Cloud Compute,Active,Central,Fibre,TP Link Archer A6,Embedded,Bronze,2018-05-15,,500,805,15,20,2
SRV000096,CUST00325,IoT Connectivity,Provisioning,Northern,5G,TP Link Archer A6,macOS,Gold,2018-08-16,,100,231,30,10,4
SRV000097,CUST00791,Mobile Postpaid,Active,East Coast,4G/LTE,ZTE ZXHN F670L,Embedded,Silver,2018-12-31,,100,128,36,11,1
SRV000098,CUST00550,Cloud Storage,Active,Southern,5G,ZTE ZXHN F670L,Windows,Silver,2021-11-15,,500,328,29,13,3
SRV000099,CUST01085,IoT Connectivity,Active,Sarawak,4G/LTE,ZTE ZXHN F670L,Android,Gold,2019-06-15,,500,1132,72,6,0
SRV000100,CUST00226,Cloud Storage,Provisioning,East Coast,Fibre,ZTE ZXHN F670L,Embedded,Bronze,2022-02-21,,300,453,13,5,0
SRV000101,CUST01074,Cloud Compute,Provisioning,Southern,4G/LTE,Huawei HG8145V5,Windows,Silver,2023-12-17,,300,1082,44,14,4
SRV000102,CUST00100,Cloud Compute,Active,Northern,4G/LTE,ZTE ZXHN F670L,Android,Gold,2024-12-27,,100,662,20,26,1
SRV000103,CUST00403,Cloud Storage,Active,East Coast,Fibre,TP Link Archer A6,iOS,Silver,2021-06-22,,500,1179,17,13,2
SRV000104,CUST00996,Unifi Home,Terminated,Northern,Fibre,TP Link Archer A6,Linux,Gold,2023-02-03,2024-09-01,1000,515,17,2,2
SRV000105,CUST00896,Managed Security,Suspended,East Coast,4G/LTE,D Link DIR 842,Embedded,Gold,2022-09-08,,100,1388,41,24,1
SRV000106,CUST00810,Cloud Compute,Active,Central,Fibre,ZTE ZXHN F670L,macOS,Silver,2020-11-20,,500,937,19,24,2
SRV000107,CUST00315,IoT Connectivity,Active,Northern,Fibre,Huawei HG8145V5,Android,Gold,2020-12-19,,500,1429,11,18,0
SRV000108,CUST00041,Managed Security,Active,Sabah,5G,Nokia G 2425G A,iOS,Bronze,2019-03-08,,1000,473,23,9,1
SRV000109,CUST00760,Managed Security,Active,Central,4G/LTE,TP Link Archer A6,Windows,Gold,2020-11-08,,1000,1249,59,25,6
SRV000110,CUST00046,Cloud Storage,Suspended,Sabah,Fibre,Nokia G 2425G A,Embedded,Silver,2024-06-05,,100,1034,20,12,1
SRV000111,CUST00141,Cloud Compute,Active,Central,4G/LTE,TP Link Archer A6,Windows,Bronze,2020-06-23,,300,794,33,22,0
SRV000112,CUST00880,Cloud Storage,Active,Northern,Fibre,Nokia G 2425G A,Embedded,Gold,2019-06-10,,500,1457,20,9,1
SRV000113,CUST00912,Cloud Storage,Active,Central,5G,Nokia G 2425G A,Android,Bronze,2021-05-07,,500,720,29,9,5
SRV000114,CUST00431,Cloud Storage,Active,Central,5G,Nokia G 2425G A,Linux,Gold,2024-03-10,,500,940,28,6,1
SRV000115,CUST00006,Cloud Compute,Provisioning,East Coast,Fibre,D Link DIR 842,Linux,Gold,2018-05-23,,300,711,8,12,0
SRV000116,CUST00738,Cloud Storage,Active,Central,Fibre,ZTE ZXHN F670L,Android,Bronze,2020-06-06,,500,1046,19,28,0
SRV000117,CUST00590,Cloud Compute,Active,Northern,Fibre,TP Link Archer A6,Embedded,Silver,2020-01-21,,300,821,16,15,2
SRV000118,CUST00690,Cloud Storage,Active,Southern,Fibre,TP Link Archer A6,Windows,Silver,2019-09-26,,1000,732,8,13,2
SRV000119,CUST00674,Cloud Compute,Active,Northern,4G/LTE,TP Link Archer A6,iOS,Bronze,2018-02-23,,500,863,42,18,0
SRV000120,CUST01193,Cloud Compute,Active,Sabah,4G/LTE,TP Link Archer A6,Linux,Bronze,2022-05-18,,100,1438,46,13,0
SRV000121,CUST00319,IoT Connectivity,Provisioning,Northern,5G,ZTE ZXHN F670L,iOS,Silver,2022-06-04,,300,1441,30,10,3
SRV000122,CUST00004,Cloud Compute,Active,Central,Fibre,TP Link Archer A6,Linux,Gold,2020-05-31,,100,621,20,22,2
SRV000123,CUST01002,Cloud Compute,Terminated,Northern,Fibre,Nokia G 2425G A,Windows,Gold,2020-10-06,,100,1161,11,16,1
SRV000124,CUST00764,Managed Security,Active,East Coast,5G,ZTE ZXHN F670L,iOS,Gold,2021-09-29,,100,139,12,15,2
SRV000125,CUST00064,Unifi Business,Provisioning,Sarawak,Fibre,ZTE ZXHN F670L,Linux,Silver,2024-06-12,,500,1376,6,16,2
SRV000126,CUST00886,Mobile Postpaid,Terminated,Central,4G/LTE,TP Link Archer A6,Embedded,Bronze,2023-01-07,,30,113,57,26,6
SRV000127,CUST00485,Cloud Storage,Active,Sabah,4G/LTE,Huawei HG8145V5,Windows,Platinum,2018-11-24,,1000,591,43,29,5
SRV000128,CUST00730,IoT Connectivity,Active,Northern,Fibre,D Link DIR 842,Android,Silver,2021-04-08,,300,653,7,7,0
SRV000129,CUST00708,Unifi Home,Provisioning,Northern,Fibre,ZTE ZXHN F670L,Windows,Bronze,2023-04-14,,800,1955,14,6,1
SRV000130,CUST00635,Mobile Postpaid,Active,Northern,5G,TP Link Archer A6,Linux,Silver,2021-09-28,,100,133,12,23,2
SRV000131,CUST01066,Unifi Business,Active,Northern,DSL,ZTE ZXHN F670L,Embedded,Bronze,2024-03-24,,300,1847,126,25,5
SRV000132,CUST00895,Cloud Compute,Active,East Coast,Fibre,D Link DIR 842,Android,Silver,2018-12-19,,300,1470,18,8,2
SRV000133,CUST00965,Cloud Compute,Provisioning,Northern,Fibre,Huawei HG8145V5,macOS,Gold,2022-05-02,,1000,978,8,3,0
SRV000134,CUST00264,Mobile Postpaid,Provisioning,Central,5G,ZTE ZXHN F670L,Windows,Silver,2023-01-25,,100,60,22,3,0
SRV000135,CUST01200,Cloud Storage,Provisioning,Southern,4G/LTE,Nokia G 2425G A,iOS,Gold,2021-07-15,,500,907,68,25,2
SRV000136,CUST00925,Cloud Storage,Active,Central,5G,D Link DIR 842,Windows,Gold,2023-10-04,,500,749,18,10,0
SRV000137,CUST00225,Unifi Home,Provisioning,Southern,Fibre,TP Link Archer A6,Android,Bronze,2024-07-28,,300,1246,5,22,1
SRV000138,CUST00296,Unifi Home,Active,Southern,DSL,Nokia G 2425G A,Android,Silver,2020-06-19,,800,1915,134,17,2
SRV000139,CUST00205,Cloud Compute,Suspended,East Coast,Fibre,TP Link Archer A6,Linux,Silver,2019-02-07,2019-05-06,100,634,12,7,0
SRV000140,CUST00663,Cloud Storage,Terminated,Northern,Fibre,ZTE ZXHN F670L,iOS,Silver,2024-06-13,2025-11-04,1000,123,11,1,2
SRV000141,CUST00987,Cloud Storage,Terminated,Central,5G,D Link DIR 842,Android,Silver,2022-11-09,,1000,991,13,18,1
SRV000142,CUST00953,Cloud Storage,Active,Southern,4G/LTE,TP Link Archer A6,Android,Bronze,2019-06-24,,1000,234,60,14,1
SRV000143,CUST00193,Cloud Storage,Active,Central,5G,Nokia G 2425G A,macOS,Gold,2018-04-28,,100,1445,19,4,4
SRV000144,CUST00799,Mobile Postpaid,Active,Sarawak,5G,D Link DIR 842,Windows,Silver,2022-11-29,,100,129,24,10,0
SRV000145,CUST00171,Cloud Storage,Active,Northern,4G/LTE,Huawei HG8145V5,macOS,Silver,2022-10-16,,500,1265,22,19,5
SRV000146,CUST00997,Unifi Home,Active,Central,Fibre,ZTE ZXHN F670L,Embedded,Platinum,2022-06-04,,100,452,7,24,1
SRV000147,CUST01145,IoT Connectivity,Active,Northern,5G,Nokia G 2425G A,iOS,Gold,2024-08-05,,100,1046,18,6,0
SRV000148,CUST00681,Mobile Postpaid,Active,Central,5G,D Link DIR 842,Embedded,Bronze,2019-07-09,,30,122,10,5,1
SRV000149,CUST00232,Managed Security,Active,Sarawak,Fibre,Nokia G 2425G A,Embedded,Gold,2018-04-22,,500,1153,5,5,2
SRV000150,CUST00475,Cloud Compute,Provisioning,Central,5G,Nokia G 2425G A,iOS,Gold,2020-04-21,,300,1497,29,21,0
SRV000151,CUST00009,Managed Security,Active,East Coast,Fibre,TP Link Archer A6,Android,Silver,2020-09-20,,500,872,11,25,2
SRV000152,CUST00707,Unifi Business,Active,Northern,Fibre,ZTE ZXHN F670L,Windows,Bronze,2023-04-18,,300,1312,12,7,0
SRV000153,CUST01171,Cloud Compute,Active,Sabah,4G/LTE,Nokia G 2425G A,Embedded,Bronze,2019-02-07,,100,551,41,26,6
SRV000154,CUST00930,Unifi Home,Active,Southern,Fibre,D Link DIR 842,Embedded,Bronze,2021-04-01,,500,1041,19,30,0
SRV000155,CUST01174,Cloud Compute,Active,Central,5G,D Link DIR 842,Android,Bronze,2021-12-07,,500,1207,17,25,5
SRV000156,CUST01138,Cloud Compute,Active,East Coast,5G,D Link DIR 842,macOS,Bronze,2020-09-30,,1000,926,24,15,6
SRV000157,CUST00893,Unifi Home,Active,East Coast,Fibre,TP Link Archer A6,Windows,Gold,2022-09-16,,1000,1836,19,22,2
SRV000158,CUST00478,Unifi Home,Active,Northern,Fibre,Huawei HG8145V5,Android,Bronze,2023-04-01,,500,1388,18,24,2
SRV000159,CUST00925,Cloud Storage,Terminated,Central,5G,TP Link Archer A6,Windows,Silver,2023-09-11,,500,1192,11,19,2
SRV000160,CUST00899,Cloud Compute,Suspended,Central,4G/LTE,ZTE ZXHN F670L,Windows,Silver,2023-12-06,,500,432,50,2,3
SRV000161,CUST01196,Cloud Compute,Suspended,Central,4G/LTE,TP Link Archer A6,Linux,Bronze,2022-10-28,,100,204,50,19,3
SRV000162,CUST00804,Cloud Compute,Suspended,East Coast,5G,TP Link Archer A6,Embedded,Silver,2020-02-16,,1000,406,26,19,6
SRV000163,CUST00934,Cloud Compute,Active,Southern,4G/LTE,Nokia G 2425G A,iOS,Silver,2019-11-09,,500,1493,21,25,1
SRV000164,CUST01188,Unifi Business,Active,Central,Fibre,D Link DIR 842,macOS,Gold,2022-09-06,,100,1926,18,13,2
SRV000165,CUST00373,Managed Security,Active,Northern,4G/LTE,Huawei HG8145V5,Linux,Gold,2021-04-19,,100,1379,69,28,3
SRV000166,CUST00903,Managed Security,Active,Central,5G,D Link DIR 842,Android,Gold,2021-08-14,,1000,395,22,8,3
SRV000167,CUST00960,IoT Connectivity,Active,Central,4G/LTE,D Link DIR 842,Android,Gold,2022-05-27,,100,996,68,8,2
SRV000168,CUST00253,Cloud Compute,Active,East Coast,5G,Huawei HG8145V5,iOS,Gold,2019-10-13,,1000,1205,30,30,1
SRV000169,CUST00589,Cloud Compute,Active,Northern,Fibre,Huawei HG8145V5,Android,Gold,2024-09-24,,300,616,13,13,0
SRV000170,CUST00822,Unifi Business,Suspended,Central,DSL,D Link DIR 842,macOS,Platinum,2022-07-27,,300,1592,80,13,4
SRV000171,CUST00705,Cloud Compute,Active,East Coast,5G,Nokia G 2425G A,Linux,Silver,2023-06-10,,500,285,14,17,2
SRV000172,CUST00497,Cloud Storage,Provisioning,East Coast,Fibre,ZTE ZXHN F670L,Linux,Gold,2023-10-31,,500,1187,15,10,2
SRV000173,CUST00981,Cloud Compute,Active,East Coast,Fibre,Nokia G 2425G A,Embedded,Silver,2019-07-14,,100,624,10,12,1
SRV000174,CUST00637,Cloud Compute,Active,Central,Fibre,TP Link Archer A6,iOS,Platinum,2021-03-05,,500,370,16,11,0
SRV000175,CUST00983,IoT Connectivity,Suspended,Sarawak,5G,Nokia G 2425G A,macOS,Gold,2023-09-10,,1000,156,15,2,1
SRV000176,CUST00267,Mobile Postpaid,Active,East Coast,5G,D Link DIR 842,Android,Gold,2023-06-20,,100,122,23,30,1
SRV000177,CUST01182,Cloud Compute,Active,Central,5G,Nokia G 2425G A,macOS,Gold,2024-01-13,,1000,515,12,9,6
SRV000178,CUST00323,Cloud Compute,Active,Northern,5G,Huawei HG8145V5,macOS,Gold,2023-01-20,,1000,734,19,4,3
SRV000179,CUST00018,Cloud Compute,Active,Southern,Fibre,Nokia G 2425G A,macOS,Gold,2024-02-22,,100,139,15,3,2
SRV000180,CUST00085,Mobile Postpaid,Active,Northern,4G/LTE,TP Link Archer A6,Embedded,Bronze,2019-01-21,,30,60,66,23,5
SRV000181,CUST00008,Unifi Home,Provisioning,Central,Fibre,TP Link Archer A6,Windows,Gold,2023-07-20,,800,764,20,20,0
SRV000182,CUST00140,Unifi Home,Suspended,Sarawak,Fibre,D Link DIR 842,iOS,Gold,2018-03-19,2020-12-04,100,1797,8,12,0
SRV000183,CUST00831,IoT Connectivity,Active,East Coast,5G,Huawei HG8145V5,Android,Silver,2020-03-05,,100,1085,27,30,6
SRV000184,CUST00700,Cloud Compute,Provisioning,Sarawak,Fibre,Huawei HG8145V5,Android,Silver,2019-01-17,,1000,390,12,23,2
SRV000185,CUST00443,Managed Security,Active,Southern,4G/LTE,ZTE ZXHN F670L,Linux,Bronze,2022-08-18,,500,787,48,20,1
SRV000186,CUST00470,Cloud Compute,Active,East Coast,Fibre,TP Link Archer A6,Embedded,Gold,2020-09-13,,100,1371,19,1,0
SRV000187,CUST00748,Unifi Home,Provisioning,East Coast,Fibre,D Link DIR 842,macOS,Platinum,2022-12-18,,300,256,9,12,0
SRV000188,CUST01171,Mobile Postpaid,Active,Sabah,5G,Nokia G 2425G A,Embedded,Silver,2018-12-11,,30,78,14,19,3
SRV000189,CUST00008,Cloud Compute,Active,Central,Fibre,D Link DIR 842,macOS,Bronze,2023-08-01,,100,803,16,30,1
SRV000190,CUST00256,Unifi Home,Active,Sarawak,Fibre,Nokia G 2425G A,Embedded,Bronze,2025-01-01,,1000,537,5,29,1
SRV000191,CUST00685,Cloud Storage,Active,Northern,Fibre,TP Link Archer A6,iOS,Bronze,2021-05-25,,300,1293,18,6,1
SRV000192,CUST00267,Cloud Compute,Active,East Coast,4G/LTE,Nokia G 2425G A,iOS,Silver,2023-07-01,,500,1437,56,26,3
SRV000193,CUST00921,Cloud Compute,Provisioning,East Coast,4G/LTE,D Link DIR 842,Embedded,Gold,2018-08-25,,300,628,39,7,5
SRV000194,CUST00627,Cloud Compute,Active,Central,5G,TP Link Archer A6,macOS,Gold,2024-11-14,,1000,437,29,28,3
